member_id,date,contribution_amount,contribution_frequency,withdrawal_amount,balance
M001,2026-01-01,500,Monthly,0,500
M001,2026-02-01,500,Monthly,0,1000
M001,2026-03-01,500,Monthly,0,1500
M001,2026-04-01,500,Monthly,200,1800
M001,2026-05-01,500,Monthly,100,2200
M001,2026-06-01,500,Monthly,300,2400
M001,2026-07-01,500,Monthly,0,2900
M001,2026-08-01,500,Monthly,0,3400
M001,2026-09-01,500,Monthly,300,3600
M001,2026-10-01,500,Monthly,0,4100
M001,2026-11-01,500,Monthly,0,4600
M001,2026-12-01,500,Monthly,0,5100
M002,2026-01-01,300,Monthly,0,300
M002,2026-02-01,300,Monthly,0,600
M002,2026-03-01,300,Monthly,200,700
M002,2026-04-01,300,Monthly,0,1000
M002,2026-05-01,300,Monthly,300,1000
M002,2026-06-01,300,Monthly,0,1300
M002,2026-07-01,300,Monthly,0,1600
M002,2026-08-01,300,Monthly,0,1900
M002,2026-09-01,300,Monthly,100,2100
M002,2026-10-01,300,Monthly,0,2400
M002,2026-11-01,300,Monthly,100,2600
M002,2026-12-01,300,Monthly,200,2700
M003,2026-01-04,200,Weekly,200,0
M003,2026-01-11,200,Weekly,50,150
M003,2026-01-18,200,Weekly,0,350
M003,2026-01-25,200,Weekly,100,450
M003,2026-02-01,200,Weekly,100,550
M003,2026-02-08,200,Weekly,0,750
M003,2026-02-15,200,Weekly,0,950
M003,2026-02-22,200,Weekly,0,1150
M003,2026-03-01,200,Weekly,50,1300
M003,2026-03-08,200,Weekly,0,1500
M003,2026-03-15,200,Weekly,50,1650
M003,2026-03-22,200,Weekly,200,1650
M003,2026-03-29,200,Weekly,100,1750
M003,2026-04-05,200,Weekly,0,1950
M003,2026-04-12,200,Weekly,0,2150
M003,2026-04-19,200,Weekly,0,2350
M003,2026-04-26,200,Weekly,0,2550
M003,2026-05-03,200,Weekly,0,2750
M003,2026-05-10,200,Weekly,0,2950
M003,2026-05-17,200,Weekly,0,3150
M003,2026-05-24,200,Weekly,200,3150
M003,2026-05-31,200,Weekly,50,3300
M003,2026-06-07,200,Weekly,0,3500
M003,2026-06-14,200,Weekly,0,3700
M003,2026-06-21,200,Weekly,200,3700
M003,2026-06-28,200,Weekly,0,3900
M003,2026-07-05,200,Weekly,0,4100
M003,2026-07-12,200,Weekly,0,4300
M003,2026-07-19,200,Weekly,0,4500
M003,2026-07-26,200,Weekly,50,4650
M003,2026-08-02,200,Weekly,50,4800
M003,2026-08-09,200,Weekly,50,4950
M003,2026-08-16,200,Weekly,50,5100
M003,2026-08-23,200,Weekly,50,5250
M003,2026-08-30,200,Weekly,100,5350
M003,2026-09-06,200,Weekly,200,5350
M003,2026-09-13,200,Weekly,100,5450
M003,2026-09-20,200,Weekly,50,5600
M003,2026-09-27,200,Weekly,100,5700
M003,2026-10-04,200,Weekly,0,5900
M003,2026-10-11,200,Weekly,0,6100
M003,2026-10-18,200,Weekly,0,6300
M003,2026-10-25,200,Weekly,50,6450
M003,2026-11-01,200,Weekly,200,6450
M003,2026-11-08,200,Weekly,100,6550
M003,2026-11-15,200,Weekly,100,6650
M003,2026-11-22,200,Weekly,0,6850
M003,2026-11-29,200,Weekly,0,7050
M004,2026-01-01,1000,Quarterly,0,1000
M004,2026-04-01,1000,Quarterly,0,2000
M004,2026-07-01,1000,Quarterly,500,2500
M004,2026-10-01,1000,Quarterly,0,3500
M004,2027-01-01,1000,Quarterly,0,4500
M005,2026-01-01,400,Monthly,300,100
M005,2026-02-01,400,Monthly,100,400
M005,2026-03-01,400,Monthly,0,800
M005,2026-04-01,400,Monthly,0,1200
M005,2026-05-01,400,Monthly,100,1500
M005,2026-06-01,400,Monthly,0,1900
M005,2026-07-01,400,Monthly,0,2300
M005,2026-08-01,400,Monthly,0,2700
M005,2026-09-01,400,Monthly,0,3100
M005,2026-10-01,400,Monthly,0,3500
M005,2026-11-01,400,Monthly,0,3900
M005,2026-12-01,400,Monthly,0,4300
